MassSpringSystemSemi first-frame debug snapshot
gravity=(0.00, -9.81, 0.00), dt=0.0010, stiffness=500.000
particles=632, springs=1890
P[0] pos=(-5.00, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[1] pos=(-5.00, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[2] pos=(5.00, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[3] pos=(-5.00, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[4] pos=(5.00, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[5] pos=(5.00, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[6] pos=(5.00, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[7] pos=(-5.00, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[8] pos=(0.00, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[9] pos=(0.00, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[10] pos=(0.00, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[11] pos=(0.00, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[12] pos=(5.00, 5.75, 0.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[13] pos=(5.00, 8.25, 0.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[14] pos=(-5.00, 8.25, 0.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[15] pos=(-5.00, 5.75, 0.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[16] pos=(-2.50, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[17] pos=(-2.50, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[18] pos=(2.50, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[19] pos=(2.50, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[20] pos=(2.50, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[21] pos=(2.50, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[22] pos=(-2.50, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[23] pos=(-2.50, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[24] pos=(5.00, 5.75, -2.50) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[25] pos=(5.00, 8.25, -2.50) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[26] pos=(5.00, 5.75, 2.50) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[27] pos=(5.00, 8.25, 2.50) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
