sample 1/100: fp16=166.705 ms, bf16=166.664 ms, ratio=1.000
sample 2/100: fp16=166.283 ms, bf16=166.762 ms, ratio=1.003
sample 3/100: fp16=166.686 ms, bf16=166.925 ms, ratio=1.001
sample 4/100: fp16=166.322 ms, bf16=166.590 ms, ratio=1.002
sample 5/100: fp16=166.379 ms, bf16=166.600 ms, ratio=1.001
sample 6/100: fp16=166.510 ms, bf16=166.686 ms, ratio=1.001
sample 7/100: fp16=166.693 ms, bf16=166.788 ms, ratio=1.001
sample 8/100: fp16=166.376 ms, bf16=166.554 ms, ratio=1.001
sample 9/100: fp16=166.762 ms, bf16=166.790 ms, ratio=1.000
sample 10/100: fp16=166.474 ms, bf16=166.959 ms, ratio=1.003
sample 11/100: fp16=167.041 ms, bf16=167.054 ms, ratio=1.000
sample 12/100: fp16=166.813 ms, bf16=166.511 ms, ratio=0.998
sample 13/100: fp16=166.938 ms, bf16=166.779 ms, ratio=0.999
sample 14/100: fp16=167.047 ms, bf16=166.766 ms, ratio=0.998
sample 15/100: fp16=166.615 ms, bf16=166.882 ms, ratio=1.002
sample 16/100: fp16=167.072 ms, bf16=166.879 ms, ratio=0.999
sample 17/100: fp16=166.447 ms, bf16=166.448 ms, ratio=1.000
sample 18/100: fp16=166.773 ms, bf16=167.175 ms, ratio=1.002
sample 19/100: fp16=166.764 ms, bf16=166.859 ms, ratio=1.001
sample 20/100: fp16=166.802 ms, bf16=167.093 ms, ratio=1.002
sample 21/100: fp16=166.373 ms, bf16=166.800 ms, ratio=1.003
sample 22/100: fp16=166.775 ms, bf16=166.824 ms, ratio=1.000
sample 23/100: fp16=166.733 ms, bf16=166.510 ms, ratio=0.999
sample 24/100: fp16=166.436 ms, bf16=166.475 ms, ratio=1.000
sample 25/100: fp16=167.114 ms, bf16=166.719 ms, ratio=0.998
sample 26/100: fp16=166.752 ms, bf16=167.090 ms, ratio=1.002
sample 27/100: fp16=166.728 ms, bf16=167.013 ms, ratio=1.002
sample 28/100: fp16=166.462 ms, bf16=166.796 ms, ratio=1.002
sample 29/100: fp16=167.073 ms, bf16=166.796 ms, ratio=0.998
sample 30/100: fp16=166.480 ms, bf16=166.757 ms, ratio=1.002
sample 31/100: fp16=166.680 ms, bf16=167.002 ms, ratio=1.002
sample 32/100: fp16=166.471 ms, bf16=166.464 ms, ratio=1.000
sample 33/100: fp16=166.760 ms, bf16=166.794 ms, ratio=1.000
sample 34/100: fp16=166.784 ms, bf16=166.509 ms, ratio=0.998
sample 35/100: fp16=166.480 ms, bf16=166.782 ms, ratio=1.002
sample 36/100: fp16=166.985 ms, bf16=166.500 ms, ratio=0.997
sample 37/100: fp16=166.428 ms, bf16=166.689 ms, ratio=1.002
sample 38/100: fp16=166.786 ms, bf16=166.925 ms, ratio=1.001
sample 39/100: fp16=166.384 ms, bf16=166.889 ms, ratio=1.003
sample 40/100: fp16=166.956 ms, bf16=166.496 ms, ratio=0.997
sample 41/100: fp16=166.448 ms, bf16=166.790 ms, ratio=1.002
sample 42/100: fp16=166.764 ms, bf16=166.836 ms, ratio=1.000
sample 43/100: fp16=166.368 ms, bf16=166.572 ms, ratio=1.001
sample 44/100: fp16=167.083 ms, bf16=167.110 ms, ratio=1.000
sample 45/100: fp16=166.779 ms, bf16=166.775 ms, ratio=1.000
sample 46/100: fp16=167.065 ms, bf16=166.688 ms, ratio=0.998
sample 47/100: fp16=166.827 ms, bf16=166.797 ms, ratio=1.000
sample 48/100: fp16=166.589 ms, bf16=166.761 ms, ratio=1.001
sample 49/100: fp16=166.785 ms, bf16=166.552 ms, ratio=0.999
sample 50/100: fp16=167.070 ms, bf16=166.812 ms, ratio=0.998
sample 51/100: fp16=167.113 ms, bf16=166.549 ms, ratio=0.997
sample 52/100: fp16=166.360 ms, bf16=166.527 ms, ratio=1.001
sample 53/100: fp16=166.783 ms, bf16=167.127 ms, ratio=1.002
sample 54/100: fp16=166.739 ms, bf16=166.627 ms, ratio=0.999
sample 55/100: fp16=166.704 ms, bf16=166.727 ms, ratio=1.000
sample 56/100: fp16=166.680 ms, bf16=166.800 ms, ratio=1.001
sample 57/100: fp16=166.397 ms, bf16=166.693 ms, ratio=1.002
sample 58/100: fp16=166.705 ms, bf16=166.624 ms, ratio=1.000
sample 59/100: fp16=166.774 ms, bf16=166.916 ms, ratio=1.001
sample 60/100: fp16=166.779 ms, bf16=166.486 ms, ratio=0.998
sample 61/100: fp16=166.499 ms, bf16=167.105 ms, ratio=1.004
sample 62/100: fp16=166.861 ms, bf16=166.747 ms, ratio=0.999
