sample,fp16_avg_ms,bf16_avg_ms,bf16_vs_fp16_ratio
1,166.705,166.664,0.9997540565669895
2,166.283,166.762,1.0028806312130525
3,166.686,166.925,1.0014338336752937
4,166.322,166.59,1.0016113322350622
5,166.379,166.6,1.0013282926330846
6,166.51,166.686,1.0010569935739597
7,166.693,166.788,1.0005699099542271
8,166.376,166.554,1.0010698658460355
9,166.762,166.79,1.0001679039589355
10,166.474,166.959,1.0029133678532385
11,167.041,167.054,1.0000778252045905
12,166.813,166.511,0.9981895895403836
13,166.938,166.779,0.9990475505876434
14,167.047,166.766,0.9983178386921046
15,166.615,166.882,1.0016024967739998
16,167.072,166.879,0.998844809423482
17,166.447,166.448,1.0000060079184365
18,166.773,167.175,1.0024104621251642
19,166.764,166.859,1.0005696673142885
20,166.802,167.093,1.0017445833982805
21,166.373,166.8,1.0025665222121378
22,166.775,166.824,1.0002938090241345
23,166.733,166.51,0.9986625323121396
24,166.436,166.475,1.0002343243048377
25,167.114,166.719,0.9976363440525629
26,166.752,167.09,1.002026962195356
27,166.728,167.013,1.00170937095149
28,166.462,166.796,1.0020064639377155
29,167.073,166.796,0.9983420421013568
30,166.48,166.757,1.0016638635271504
31,166.68,167.002,1.0019318454523638
32,166.471,166.464,0.9999579506340444
33,166.76,166.794,1.0002038858239388
34,166.784,166.509,0.9983511607828088
35,166.48,166.782,1.0018140317155215
36,166.985,166.5,0.9970955475042668
37,166.428,166.689,1.0015682457278823
38,166.786,166.925,1.0008334032832493
39,166.384,166.889,1.0030351476103474
40,166.956,166.496,0.9972447830566138
41,166.448,166.79,1.002054695760838
42,166.764,166.836,1.0004317478592502
43,166.368,166.572,1.0012261973456433
44,167.083,167.11,1.0001615963323618
45,166.779,166.775,0.9999760161651048
46,167.065,166.688,0.9977433932900368
47,166.827,166.797,0.9998201729935802
48,166.589,166.761,1.0010324811362095
49,166.785,166.552,0.9986029918757682
50,167.07,166.812,0.998455737116179
51,167.113,166.549,0.9966250381478401
52,166.36,166.527,1.0010038470786244
53,166.783,167.127,1.0020625603328879
54,166.739,166.627,0.9993282915214797
55,166.704,166.727,1.0001379690949228
56,166.68,166.8,1.0007199424046076
57,166.397,166.693,1.0017788782249681
58,166.705,166.624,0.9995141117542964
59,166.774,166.916,1.0008514516651277
60,166.779,166.486,0.9982431840939207
61,166.499,167.105,1.0036396614994685
62,166.861,166.747,0.9993167966151468
63,166.644,166.805,1.0009661313938696
64,166.639,166.726,1.0005220866663866
65,167.117,166.837,0.9983245271277009
66,166.393,166.69,1.0017849308564664
67,166.761,166.751,0.9999400339407896
68,166.5,166.757,1.0015435435435436
69,166.754,166.779,1.0001499214411649
70,166.937,166.445,0.997052780390207
71,166.887,166.975,1.0005273029055588
72,166.701,166.538,0.9990222014265062
73,166.414,166.5,1.0005167834437008
74,166.796,167.077,1.0016846926784815
75,167.135,166.406,0.9956382564992372
76,166.802,166.707,0.9994304624644789
77,166.698,166.668,0.9998200338336393
78,166.466,166.938,1.0028354138382611
79,167.035,166.7,0.9979944323046068
80,166.602,166.797,1.0011704541362048
81,166.568,166.743,1.0010506219682052
82,166.66,166.456,0.9987759510380415
83,166.809,166.605,0.9987770444040789
84,166.663,166.917,1.0015240335287376
85,166.613,166.547,0.9996038724469279
86,167.087,167.043,0.9997366641330565
87,167.095,166.769,0.9980490140339329
88,166.77,166.874,1.0006236133597168
89,167.046,166.793,0.9984854471223497
90,167.058,166.419,0.9961749811442734
91,166.48,166.582,1.0006126862085536
92,166.911,166.763,0.9991132999023432
93,166.782,166.768,0.9999160580878032
94,166.822,166.488,0.9979978659888983
95,166.858,166.639,0.9986875067422599
96,166.761,166.579,0.9989086177223692
97,166.772,167.092,1.00191878732641
98,166.691,167.065,1.0022436724238262
99,167.129,166.468,0.9960449712497532
100,166.479,167.073,1.003568017587804
