sample,elapsed_ms,output_x,output_v
1,49.59479998797178,0.168784,-9.423016
2,24.935692083090544,0.168784,-9.423016
3,24.295657873153687,0.168784,-9.423016
4,26.513759046792984,0.168784,-9.423016
5,52.587315905839205,0.168784,-9.423016
6,25.81505523994565,0.168784,-9.423016
7,26.835910975933075,0.168784,-9.423016
8,24.051915854215622,0.168784,-9.423016
9,26.92288113757968,0.168784,-9.423016
10,25.045952294021845,0.168784,-9.423016
11,25.660323910415173,0.168784,-9.423016
12,22.504488937556744,0.168784,-9.423016
13,25.20976308733225,0.168784,-9.423016
14,26.402018032968044,0.168784,-9.423016
15,25.36911331117153,0.168784,-9.423016
16,26.484129019081593,0.168784,-9.423016
17,27.143531944602728,0.168784,-9.423016
18,28.711299877613783,0.168784,-9.423016
19,28.316847048699856,0.168784,-9.423016
20,28.11199612915516,0.168784,-9.423016
21,29.05586129054427,0.168784,-9.423016
22,29.620413668453693,0.168784,-9.423016
23,25.67130420356989,0.168784,-9.423016
24,27.998946141451597,0.168784,-9.423016
25,29.27660197019577,0.168784,-9.423016
26,27.51344395801425,0.168784,-9.423016
27,29.41856300458312,0.168784,-9.423016
28,28.567119035869837,0.168784,-9.423016
29,25.428634136915207,0.168784,-9.423016
30,28.079476207494736,0.168784,-9.423016
31,28.08905579149723,0.168784,-9.423016
32,26.88814979046583,0.168784,-9.423016
33,25.351173244416714,0.168784,-9.423016
34,24.94759112596512,0.168784,-9.423016
35,28.242346830666065,0.168784,-9.423016
36,24.65810999274254,0.168784,-9.423016
37,25.55683394894004,0.168784,-9.423016
38,26.428189128637314,0.168784,-9.423016
39,25.625435169786215,0.168784,-9.423016
40,26.175118051469326,0.168784,-9.423016
41,24.136627092957497,0.168784,-9.423016
42,24.560759775340557,0.168784,-9.423016
43,27.04440103843808,0.168784,-9.423016
44,25.283992290496826,0.168784,-9.423016
45,26.863320264965296,0.168784,-9.423016
46,27.29136310517788,0.168784,-9.423016
47,27.442983351647854,0.168784,-9.423016
48,26.24436654150486,0.168784,-9.423016
49,23.91756698489189,0.168784,-9.423016
50,25.981565937399864,0.168784,-9.423016
51,23.67128524929285,0.168784,-9.423016
52,22.931291721761227,0.168784,-9.423016
53,26.84729965403676,0.168784,-9.423016
54,24.830831214785576,0.168784,-9.423016
55,26.03653585538268,0.168784,-9.423016
56,30.25987697765231,0.168784,-9.423016
57,28.41105777770281,0.168784,-9.423016
58,24.642060045152903,0.168784,-9.423016
59,24.871290661394596,0.168784,-9.423016
60,23.2728929258883,0.168784,-9.423016
61,24.025317281484604,0.168784,-9.423016
62,28.241657186299562,0.168784,-9.423016
63,27.21355203539133,0.168784,-9.423016
64,22.23733812570572,0.168784,-9.423016
65,24.741479195654392,0.168784,-9.423016
66,22.734840866178274,0.168784,-9.423016
67,22.748480550944805,0.168784,-9.423016
68,24.75466998293996,0.168784,-9.423016
69,24.267688859254122,0.168784,-9.423016
70,27.176212053745985,0.168784,-9.423016
71,26.835271157324314,0.168784,-9.423016
72,27.35436288639903,0.168784,-9.423016
73,26.969330850988626,0.168784,-9.423016
74,25.82276612520218,0.168784,-9.423016
75,23.825656156986952,0.168784,-9.423016
76,23.9176363684237,0.168784,-9.423016
77,23.8115550018847,0.168784,-9.423016
78,28.804719913750887,0.168784,-9.423016
79,24.46995908394456,0.168784,-9.423016
80,23.52060377597809,0.168784,-9.423016
81,23.86103617027402,0.168784,-9.423016
82,25.524073746055365,0.168784,-9.423016
83,27.61201374232769,0.168784,-9.423016
84,26.45087894052267,0.168784,-9.423016
85,26.512189768254757,0.168784,-9.423016
86,26.943181175738573,0.168784,-9.423016
87,23.78137595951557,0.168784,-9.423016
88,23.849515710026026,0.168784,-9.423016
89,23.746995721012354,0.168784,-9.423016
90,23.836585227400064,0.168784,-9.423016
91,23.763825185596943,0.168784,-9.423016
92,23.67718517780304,0.168784,-9.423016
93,23.703175131231546,0.168784,-9.423016
94,23.820765782147646,0.168784,-9.423016
95,23.494774010032415,0.168784,-9.423016
96,23.68130488321185,0.168784,-9.423016
97,23.716606199741364,0.168784,-9.423016
98,25.116251781582832,0.168784,-9.423016
99,25.025440845638514,0.168784,-9.423016
100,24.170698132365942,0.168784,-9.423016
