sample,cuda_wall_ms,cuda_elapsed_ms,cuda_output_x,cuda_output_v,cuda_checksum,csharp_wall_ms,csharp_elapsed_ms,csharp_output_x,csharp_output_v,csharp_checksum,wall_speedup_cuda_over_csharp,elapsed_speedup_cuda_over_csharp,abs_diff_output_x,abs_diff_output_v,abs_diff_checksum
1,32.06799999998111,0.0052,0.0,0.0,0.0,2018.7725999999202,0.277,0.0,0.0,0.0,0.01588489956718373,0.018772563176895303,0.0,0.0,0.0
2,37.64549999959854,0.0057,0.0,0.0,0.0,1949.736899999607,0.266,0.0,0.0,0.0,0.01930798970856331,0.02142857142857143,0.0,0.0,0.0
3,34.31129999989935,0.0054,0.0,0.0,0.0,1976.9397000000026,0.363,0.0,0.0,0.0,0.017355764568792512,0.014876033057851241,0.0,0.0,0.0
4,36.158700000214594,0.0064,0.0,0.0,0.0,2013.1384000001162,0.268,0.0,0.0,0.0,0.017961358245519785,0.023880597014925373,0.0,0.0,0.0
5,34.45529999999053,0.0056,0.0,0.0,0.0,1953.9786000000277,0.284,0.0,0.0,0.0,0.01763340703935552,0.01971830985915493,0.0,0.0,0.0
6,34.24799999993411,0.0062,0.0,0.0,0.0,1997.009899999739,0.269,0.0,0.0,0.0,0.017149639568606337,0.023048327137546468,0.0,0.0,0.0
7,38.54939999973794,0.0054,0.0,0.0,0.0,2003.6261000000195,0.272,0.0,0.0,0.0,0.019239817249205114,0.019852941176470587,0.0,0.0,0.0
8,34.51330000007147,0.0057,0.0,0.0,0.0,1995.4730999997992,0.287,0.0,0.0,0.0,0.01729579817441535,0.01986062717770035,0.0,0.0,0.0
9,34.52960000004168,0.0096,0.0,0.0,0.0,2066.939299999831,0.266,0.0,0.0,0.0,0.01670566716692866,0.03609022556390977,0.0,0.0,0.0
10,36.197099999753846,0.0058,0.0,0.0,0.0,2123.2491000000664,0.272,0.0,0.0,0.0,0.01704797614173142,0.021323529411764703,0.0,0.0,0.0
